RTN_prob,CNN_prob,label
0.02,1.4831333e-16,1
0.26,3.5076052e-06,1
0.07,3.0524472e-08,1
0.15,1.0512415e-05,1
0.11,5.639353e-07,1
0.13,3.6742694e-07,1
0.01,1.1626728e-17,1
0.88,4.5927376e-05,1
0.07,2.4131928e-08,1
0.06,2.885392e-06,1
0.01,0.0005042881,1
0.08,1.3472871e-07,1
0.03,5.2477805e-07,1
0.27,2.6008945e-06,1
0.09,2.1211221e-08,1
0.3,2.2372997e-06,1
0.23,1.4717507e-05,1
0.15,5.907602e-10,1
0.14,6.814208e-08,1
0.18,6.2656994e-07,1
0.19,2.5452695e-07,1
0.23,2.6108153e-06,1
0.3,1.8502666e-05,1
0.07,1.194343e-07,1
0.06,7.427094e-06,1
0.61,4.162432e-05,1
0.2,2.1024208e-08,1
0.26,1.8087433e-06,1
0.0,3.0062286e-20,1
0.11,0.00032505227,1
0.2,1.1078983e-07,1
0.17,0.00020293161,1
0.14,1.1060572e-07,1
0.27,3.0243602e-06,1
0.33,1.0157271e-05,1
0.24,1.5056514e-07,1
0.02,4.3257591e-16,1
0.24,1.585259e-07,1
0.06,1.8551923e-08,1
0.03,1.8924185e-11,1
0.09,2.926339e-06,1
0.1,4.533492e-05,1
0.12,1.8092351e-07,1
0.14,0.009469741,1
0.35,6.461907e-08,1
0.37,4.5033553e-06,1
0.27,3.450667e-06,1
0.13,1.4200715e-07,1
0.0,2.2697978e-15,1
0.8,2.7168015e-05,1
0.35,5.2023064e-05,1
0.0,7.36971e-06,1
0.03,0.000604129,1
0.09,0.00013045906,1
0.01,4.0793904e-07,1
0.03,2.35922e-06,1
0.0,7.8553585e-14,1
0.01,5.0187537e-06,1
0.02,1.23035825e-05,1
0.0,2.7559105e-08,1
0.01,2.0173997e-14,1
0.0,7.735451e-24,1
0.43,7.3124196e-05,1
0.0,0.0004763483,1
0.02,0.0008702658,1
0.0,3.1710337e-05,1
0.0,1.1166904e-06,1
0.0,1.9695415e-06,1
0.0,7.843505e-05,1
0.03,0.00017533783,1
0.02,0.0003898099,1
0.0,2.1986524e-07,1
0.36,9.013413e-14,1
0.04,1.3404731e-06,1
0.0,1.309104e-05,1
0.03,2.2624532e-05,1
0.01,5.3892545e-05,1
0.12,1.5555644e-06,1
0.02,6.1181275e-08,1
0.04,6.3153093e-06,1
0.0,6.497797e-16,1
0.05,0.00018265756,1
0.01,5.2465243e-08,1
0.05,1.993842e-15,1
0.08,0.0,1
0.0,5.916731e-08,1
0.0,1.8514186e-10,1
0.04,6.9563166e-06,1
0.0,9.716827e-11,1
0.02,0.00021314427,1
0.06,0.00035208848,1
0.0,1.08322304e-07,1
0.02,2.2694717e-06,1
0.0,2.196385e-13,1
0.0,1.1861766e-05,1
0.01,5.4968703e-13,1
0.08,2.9523006e-05,1
0.0,8.434409e-09,1
0.01,2.909124e-15,1
0.0,7.514832e-07,1
0.02,3.106877e-05,1
0.0,0.00036112173,1
0.07,3.541061e-05,1
0.02,1.6809091e-06,1
0.0,5.8801555e-07,1
0.0,1.05990374e-07,1
0.1,0.000836629,1
0.0,0.0009629508,1
0.0,1.7599905e-05,1
0.01,2.7134097e-06,1
0.01,2.3033541e-14,1
0.05,1.2942213e-06,1
0.01,4.2592546e-06,1
0.01,1.6319286e-09,1
0.03,0.00010060477,1
0.04,4.111143e-13,1
0.02,8.4286545e-12,1
0.05,1.058068e-33,1
0.05,8.213341e-06,1
0.0,4.3002726e-09,1
0.04,4.7480603e-06,1
0.01,3.7878852e-08,1
0.0,3.8939183e-07,1
0.0,4.6056034e-14,1
0.0,9.2731476e-08,1
0.0,2.1340081e-10,1
0.0,6.4864656e-09,1
0.03,2.7410076e-07,1
0.03,1.4105304e-06,1
0.08,5.42659e-06,1
0.0,2.5306159e-08,1
0.03,9.249583e-12,1
0.01,1.7323415e-09,1
0.01,3.8292234e-05,1
0.0,2.2810671e-09,1
0.03,2.2885273e-07,1
0.0,2.3260167e-13,1
0.0,1.5651596e-09,1
0.01,2.3118398e-06,1
0.08,8.521515e-21,1
0.0,5.3270286e-09,1
0.45,2.7250144e-06,1
0.06,0.0002170567,1
0.0,3.4437498e-11,1
0.18,3.2286835e-09,1
0.0,5.301182e-09,1
0.08,1.5807716e-05,1
0.04,6.0262996e-11,1
0.0,9.81964e-10,1
0.07,1.2684938e-05,1
0.02,5.203255e-30,1
0.03,5.2514673e-09,1
0.0,3.0833613e-07,1
0.0,7.824994e-06,1
0.04,4.3780846e-09,1
0.31,0.0001700108,1
0.01,3.8231683e-08,1
0.16,4.32339e-05,1
0.0,1.082698e-08,1
0.02,1.8677115e-15,1
0.21,2.395223e-06,1
0.0,6.980699e-16,1
0.0,2.8699382e-08,1
0.02,2.3994367e-06,1
0.03,1.1028726e-10,1
0.0,1.8397095e-07,1
